key	value
tagline	神秘を通じた占い
oneCard	1枚のカード
threeCard	3枚のカード
celticCross	ケルト十字
draw	引く
settingsTitle	設定
languageSection	言語
interfaceLanguage	インターフェース:
articleLanguage	記事:
articlesSection	記事
disambigLabel	曖昧さ回避ページを含める
resetDefaults	リセット
save	保存
readArticle	記事を読む
openInNewTab	新しいタブで開く
close	閉じる
footer	78枚のカードでは足りなかったから。
settingsTooltip	ポジション名と言語を変更
errorMessage	Wikipediaの精霊は現在利用できません。
tryAgain	もう一度お試しください。
settingsTab	設定
spreadsTab	スプレッド
shareTooltip	リンクをコピー
linkCopied	リンクをコピーしました！
editSpread	編集
deleteSpread	削除
resetSpread	リセット
addPosition	+ 位置を追加
spreadName	スプレッド名
positionName	ポジション
row	行
col	列
readingBtnTooltip	読みのテーマを設定
readingTitle	読みのテーマ
readingSave	テーマを設定
readingClear	クリア
sharedLinkTitle	共有されたスプレッド
sharedLinkMessage	誰かがスプレッドを共有しました。表示しますか？
sharedLinkYes	はい
sharedLinkNo	いいえ
sharedLinkNever	今後警告しない
downloadTitle	スプレッドをダウンロード
downloadTooltip	スプレッドをダウンロード
downloadFilenameLabel	ファイル名
warnLinksLabel	リンク読み込み時に警告する
defaultPositions__one	答え
defaultPositions__three__0	過去
defaultPositions__three__1	現在
defaultPositions__three__2	未来
defaultPositions__celtic__0	現在の状況
defaultPositions__celtic__1	課題
defaultPositions__celtic__2	王冠（意識）
defaultPositions__celtic__3	基礎（無意識）
defaultPositions__celtic__4	過去
defaultPositions__celtic__5	未来
defaultPositions__celtic__6	自己
defaultPositions__celtic__7	環境
defaultPositions__celtic__8	希望と恐れ
defaultPositions__celtic__9	結果
